Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
676.28;25.190;159.218;162.263;147.120;147.056;161.202;115.836
680.24;25.097;160.118;162.927;146.285;149.760;160.854;113.472
684.19;25.063;160.988;163.299;147.235;147.838;161.714;112.139
688.14;25.030;160.420;164.237;147.930;149.708;162.936;107.832
692.10;26.278;161.412;163.672;148.630;150.096;163.746;107.021
696.06;26.023;161.986;164.463;149.830;149.954;164.290;105.351
700.02;25.417;161.164;165.019;148.660;152.626;164.166;88.627
704.00;25.566;154.504;163.705;147.970;153.924;160.044;87.630
707.99;25.766;154.618;158.385;149.630;155.140;154.844;87.212
711.99;26.344;150.432;154.813;150.550;157.090;154.948;86.327
716.00;26.788;142.172;150.711;151.260;156.586;154.052;85.815
720.02;27.544;140.796;148.737;152.970;155.888;150.346;85.412
724.06;27.988;140.606;147.641;155.300;155.312;146.124;84.915
728.11;28.736;140.852;142.883;156.210;155.954;143.737;84.027
732.18;29.048;138.450;141.178;156.460;158.508;141.683;83.418
736.28;29.484;135.958;135.468;155.150;153.930;136.888;82.527
740.40;30.124;133.890;130.749;151.990;150.404;131.827;82.306
744.54;30.312;133.274;126.966;148.850;147.051;121.075;82.785
748.71;30.388;127.078;124.798;148.510;139.024;121.819;82.121
752.90;30.296;125.964;126.377;145.880;139.719;125.364;81.809
757.09;30.263;122.376;122.208;142.840;136.977;123.482;82.188
761.26;30.229;119.972;122.832;139.860;133.003;110.226;81.618
765.42;30.188;117.153;117.974;135.120;133.010;108.733;81.988
769.54;30.088;112.489;116.448;131.720;130.007;106.474;82.388
773.60;29.988;111.361;113.180;130.400;126.940;104.137;82.788
777.60;29.792;107.483;105.711;127.430;124.271;102.930;83.479
781.51;28.964;105.787;103.953;121.800;100.829;101.468;83.985
785.35;28.748;104.485;105.428;112.920;105.114;98.440;85.067
789.10;29.316;102.988;104.619;111.560;108.830;95.624;85.488
792.76;30.930;101.791;103.683;110.775;109.764;94.392;86.179
796.31;31.180;100.891;102.392;110.025;108.552;93.136;86.976
799.77;31.543;99.995;101.138;109.020;106.934;92.116;87.582
