Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,515045166;-0,917510986;9,413986206;1,059509277;9,51774777
0,519042969;-0,943832397;9,406814575;0,975708008;9,504261474
0,523010254;-0,960601807;9,406814575;0,906280518;9,499066305
0,527008057;-0,972564697;9,409210205;0,851211548;9,497561786
0,53100586;-0,979751587;9,409210205;0,793746948;9,493323131
0,535003662;-0,986938477;9,394836426;0,729110718;9,474629358
0,538970947;-0,982147217;9,392440796;0,681228638;9,468190414
0,54296875;-0,972564697;9,378082275;0,633331299;9,449625272
0,546966553;-0,943832397;9,380477905;0,599822998;9,446902823
0,550964356;-0,910324097;9,382873535;0,595031738;9,445690473
0,554962158;-0,879196167;9,382873535;0,628555298;9,444913099
0,558929444;-0,857650757;9,370895386;0,702774048;9,436267086
0,562927246;-0,850463867;9,356536865;0,791351318;9,428377793
0,566925049;-0,848068237;9,349349976;0,860794067;9,427116798
0,570922852;-0,828918457;9,354141235;0,918243408;9,435583449
0,574890137;-0,797790527;9,370895386;0,956558228;9,453314429
0,57888794;-0,773849487;9,370895386;0,966125488;9,452297172
0,582885742;-0,752304077;9,346954346;0,954162598;9,425600417
0,586883545;-0,721176147;9,327804565;0,930221558;9,401773513
0,590881348;-0,680480957;9,330200195;0,932617188;9,401354415
0,594848633;-0,639770508;9,325408936;0,970916748;9,397618712
0,598846436;-0,625411987;9,315826416;1,025985718;9,392997853
0,602844239;-0,623016357;9,291885376;1,081054688;9,37528466
0,606842041;-0,632598877;9,282318115;1,107391357;9,369521148
0,610809326;-0,620620728;9,279922485;1,109786987;9,366630055
0,614807129;-0,603866577;9,282318115;1,078659058;9,364271984
0,618804932;-0,618225098;9,265548706;1,033172607;9,343449081
0,622802735;-0,651748657;9,236816406;1,011627197;9,31487752
0,626800537;-0,709213257;9,198516846;0,982894897;9,278026621
0,630767822;-0,771453857;9,167388916;0,946975708;9,248401137
0,634765625;-0,826522827;9,148239136;0,863174438;9,225968208
0,638763428;-0,855255127;9,136260986;0,748260498;9,206661714
0,642761231;-0,862442017;9,145843506;0,628555298;9,207895603
0,646728516;-0,867218018;9,169784546;0,511230469;9,224877902
0,650726319;-0,881591797;9,196121216;0,410675049;9,247405231
0,654724121;-0,907928467;9,227249146;0,341247559;9,278087669
0,658721924;-0,924682617;9,267944336;0,295761108;9,318653593
0,662719727;-0,927078247;9,296676636;0,250259399;9,346138257
0,666687012;-0,929473877;9,339767456;0,209564209;9,38824238
0,670684815;-0,922286987;9,387649536;0,199981689;9,434965277
0,674682617;-0,905532837;9,430755615;0,204772949;9,476342815
0,67868042;-0,912719727;9,476242065;0,219146729;9,522617617
0,682647705;-0,915115356;9,528915405;0,223922729;9,575374996
0,686645508;-0,883987427;9,593551636;0,240692139;9,637198735
